,City,Latitude,Longitude
0,albuquerque,35.1021725205157,-106.568455936473
1,albuquerque,35.079704284668,-106.606742858887
2,albuquerque,35.151531,-106.586235
3,albuquerque,35.0798381101684,-106.514724705107
4,albuquerque,35.08776,-106.59567
5,albuquerque,35.1027600467205,-106.670645847917
6,albuquerque,35.0710220336914,-106.533027648926
7,albuquerque,35.16577,-106.59101
8,albuquerque,35.0907821655273,-106.642799377441
9,albuquerque,35.1526679992676,-106.499160766602
10,albuquerque,35.0984779000282,-106.515256091952
11,albuquerque,35.13375,-106.61219
12,albuquerque,35.1552943632143,-106.681075602151
13,albuquerque,35.1292582152905,-106.586943827569
14,albuquerque,35.10046,-106.58602
15,albuquerque,35.1777322590216,-106.689193364146
16,albuquerque,35.1474123173134,-106.556064372851
17,albuquerque,35.1124837249517,-106.700946092606
18,albuquerque,35.1746222676261,-106.578469033773
19,albuquerque,35.0586901508659,-106.582975502454
20,albuquerque,35.2047711948796,-106.650390755457
21,albuquerque,35.175720097174,-106.55844135314
22,albuquerque,35.1068888539174,-106.587907075882
23,albuquerque,35.086441,-106.6503677
24,albuquerque,35.109343925541,-106.658316449077
25,albuquerque,35.1037729322186,-106.670357345619
26,albuquerque,35.1725502,-106.5821304
27,albuquerque,35.1147094502295,-106.533647878973
28,albuquerque,35.24109,-106.69918
29,albuquerque,35.1309762167903,-106.512781945369
30,albuquerque,35.24075,-106.65659
31,albuquerque,35.2272301,-106.6605911
32,albuquerque,35.1968941238246,-106.660533993345
33,albuquerque,35.13293,-106.49744
34,albuquerque,35.2600384332227,-106.637948573045
35,albuquerque,35.0803489685059,-106.627113342285
36,albuquerque,35.3220065,-106.5758288
37,albuquerque,34.8139899,-106.75595
38,albuquerque,35.131044,-106.5500409
39,albuquerque,35.1092963,-106.6107365
40,albuquerque,35.0635299682617,-106.604507446289
41,albuquerque,35.0832023773511,-106.650382508574
42,albuquerque,35.2017558969022,-106.645977810837
43,albuquerque,35.0871162414551,-106.597496032715
44,albuquerque,35.0774185923492,-106.621108942348
45,albuquerque,35.1367835998535,-106.626495361328
46,albuquerque,35.1847849,-106.5962087
47,albuquerque,35.0846111,-106.6531021
48,albuquerque,35.08505,-106.65796
49,albuquerque,35.08076,-106.650106
50,albuquerque,35.094485385133,-106.62683226053
51,albuquerque,35.1008831709623,-106.665061488748
52,albuquerque,35.0806843301025,-106.620507321533
53,albuquerque,35.0943603515625,-106.670684814453
54,albuquerque,35.1298265,-106.5507951
55,albuquerque,35.0805,-106.60765
56,albuquerque,35.1657749,-106.591016
57,albuquerque,35.0783538818359,-106.595024108887
58,albuquerque,35.083739,-106.651117
59,albuquerque,35.1056594,-106.6031091
60,albuquerque,35.0828,-106.6404699
61,albuquerque,35.180136,-106.674737
62,albuquerque,35.0790070103088,-106.609308386764
63,albuquerque,35.0487943001272,-106.616839265051
64,albuquerque,35.1298294,-106.5477982
65,albuquerque,35.0732417,-106.6218792
66,albuquerque,35.0789351,-106.6091516
67,albuquerque,35.10364,-106.679892
68,albuquerque,35.1264143522032,-106.604322478649
69,albuquerque,35.0903893,-106.6477203
70,albuquerque,35.0805282592773,-106.621170043945
71,albuquerque,35.0958938598633,-106.669021606445
72,albuquerque,35.0910965,-106.6663327
73,albuquerque,35.0855984,-106.5144322
74,albuquerque,35.0957207234847,-106.658451885088
75,albuquerque,35.1026572868923,-106.567739831572
76,albuquerque,35.14713,-106.52494
77,albuquerque,35.0804769717024,-106.608229627247
78,albuquerque,35.098087310791,-106.51587677002
79,albuquerque,35.2202733373403,-106.677956180426
80,albuquerque,35.105266,-106.550293
81,albuquerque,35.0710728,-106.6539828
82,albuquerque,35.0812035,-106.6271133
83,albuquerque,35.1106390357018,-106.56894184649
84,albuquerque,35.0622210813679,-106.586007536771
85,albuquerque,35.3184591972447,-106.543287159811
86,albuquerque,35.1299534704882,-106.553108949251
87,albuquerque,35.1293411,-106.5468826
88,albuquerque,35.0970306396484,-106.670623779297
89,albuquerque,35.1026284524237,-106.567171376333
90,albuquerque,35.1071069,-106.572767
91,albuquerque,35.2052001953125,-106.676979064941
92,albuquerque,35.3244446218014,-106.563283056021
93,albuquerque,35.2066306988173,-106.567268928963
94,albuquerque,35.1026284524237,-106.567171376333
95,albuquerque,35.101340944241,-106.567987014661
96,albuquerque,35.11028,-106.56776
97,albuquerque,35.08644,-106.65037
98,albuquerque,35.1076027313804,-106.570197452949
99,albuquerque,35.17255,-106.58213
100,albuquerque,35.0798716,-106.6062187
101,albuquerque,35.11028,-106.56776
102,albuquerque,35.10504,-106.56762
103,albuquerque,35.1526468597951,-106.585988695754
104,albuquerque,35.10411,-106.67171
105,albuquerque,35.09197,-106.6359499
106,albuquerque,35.0604274599156,-106.621029675007
107,albuquerque,35.0511223,-106.6217161
108,albuquerque,35.085639,-106.655891
109,albuquerque,35.050766,-106.621666
110,albuquerque,35.10057,-106.6696599
111,albuquerque,35.1777348,-106.6879849
112,albuquerque,35.08365,-106.6487
113,albuquerque,35.0812466,-106.515024
114,albuquerque,35.0480056449257,-106.63390281252
115,albuquerque,35.088451385498,-106.649040222168
116,albuquerque,35.0861551,-106.6504244
117,albuquerque,35.1738740917703,-106.559481024742
118,albuquerque,35.107248,-106.602869
119,albuquerque,35.1311874389648,-106.530921936035
120,albuquerque,35.079559,-106.605194
121,albuquerque,35.1746743,-106.5783216
122,albuquerque,35.09896,-106.67014
123,albuquerque,35.1657029376601,-106.591054983437
124,albuquerque,35.087215423584,-106.654937744141
125,albuquerque,35.0652275,-106.5328064
